ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,Male,0,22,0,Healthcare,1,0,4,Cat_4,D
462643,Female,1,38,1,Engineer,1,1,3,Cat_4,A
466315,Female,1,67,1,Engineer,1,0,1,Cat_6,B
461735,Male,1,67,1,Lawyer,0,2,2,Cat_6,B
462669,Female,1,40,1,Entertainment,1,2,6,Cat_6,A
461319,Male,1,56,0,Artist,0,1,2,Cat_6,C
460156,Male,0,32,1,Healthcare,1,0,3,Cat_6,C
464347,Female,0,33,1,Healthcare,1,0,3,Cat_6,D
465015,Female,1,61,1,Engineer,0,0,3,Cat_7,D
465176,Female,1,55,1,Artist,1,1,4,Cat_6,C
464041,Female,0,26,1,Engineer,1,0,3,Cat_6,A
464942,Male,0,19,0,Healthcare,4,0,4,Cat_4,D
461230,Female,0,19,0,Executive,0,0,2,Cat_3,D
459573,Male,1,70,0,Lawyer,1,0,1,Cat_6,A
460849,Female,1,58,0,Doctor,0,0,1,Cat_3,B
460563,Female,0,41,0,Healthcare,1,0,2,Cat_1,C
466865,Female,0,32,0,Homemaker,9,0,5,Cat_3,D
461644,Male,0,31,0,Healthcare,1,0,6,Cat_6,B
466772,Male,1,58,1,Entertainment,1,1,4,Cat_6,B
464291,Female,1,79,1,Artist,0,2,1,Cat_6,C
466084,Male,1,49,1,Homemaker,12,0,1,Cat_3,A
459675,Female,0,18,0,Healthcare,3,0,4,Cat_6,D
465602,Male,1,33,1,Artist,13,0,2,Cat_3,A
459168,Female,0,36,1,Artist,5,0,2,Cat_6,B
461021,Female,0,58,0,Executive,1,1,3,Cat_3,B
465083,Male,1,56,0,Artist,1,1,3,Cat_6,C
467604,Male,0,31,0,Healthcare,9,0,8,Cat_4,A
459717,Male,1,49,1,Artist,1,1,3,Cat_6,C
465882,Male,0,35,1,Artist,0,0,1,Cat_6,B
461996,Female,0,35,0,Artist,5,0,4,Cat_6,C
463331,Female,1,45,1,Artist,0,0,3,Cat_6,C
462216,Female,1,42,0,Doctor,1,0,2,Cat_4,A
462454,Male,0,19,0,Healthcare,1,0,3,Cat_2,D
467010,Male,0,26,0,Homemaker,9,0,2,Cat_6,D
459861,Female,1,83,0,Lawyer,1,2,2,Cat_6,D
467917,Female,0,27,1,Healthcare,3,0,4,Cat_1,D
465572,Male,0,32,0,Doctor,5,0,1,Cat_4,D
460593,Female,1,28,0,Healthcare,1,1,5,Cat_3,D
465891,Female,1,28,1,Artist,8,0,2,Cat_6,A
467442,Male,1,56,1,Artist,1,1,2,Cat_6,C
462044,Female,0,47,1,Artist,4,0,1,Cat_6,B
465686,Female,0,22,0,Healthcare,0,0,2,Cat_6,D
464590,Female,0,27,1,Artist,14,0,3,Cat_6,A
466006,Female,1,49,1,Artist,1,0,2,Cat_1,C
466152,Male,1,40,0,Engineer,8,0,1,Cat_6,A
463156,Female,1,79,0,Lawyer,1,2,2,Cat_6,A
465729,Male,1,41,1,Artist,0,1,4,Cat_4,B
462384,Female,0,29,1,Healthcare,1,0,1,Cat_7,A
462442,Male,0,19,0,Healthcare,0,0,4,Cat_6,D
464191,Female,0,45,1,Engineer,1,0,1,Cat_6,A
462078,Female,1,61,0,Artist,1,1,2,Cat_2,B
467873,Female,1,36,1,Artist,1,1,2,Cat_6,C
461270,Male,1,40,1,Artist,1,0,1,Cat_3,A
462960,Female,1,57,1,Entertainment,0,1,2,Cat_6,C
464961,Male,1,76,0,Marketing,1,0,1,Cat_4,A
462110,Male,1,32,1,Artist,14,1,2,Cat_6,B
465769,Male,0,25,1,Healthcare,9,0,4,Cat_6,D
462267,Male,0,32,1,Doctor,8,0,2,Cat_6,D
465269,Female,1,45,1,Artist,1,1,3,Cat_3,C
460881,Male,1,72,1,Lawyer,1,0,2,Cat_4,D
461891,Male,1,48,1,Artist,0,1,2,Cat_6,C
466935,Male,1,55,1,Artist,9,1,2,Cat_1,C
464091,Male,1,74,1,Lawyer,0,2,3,Cat_6,D
464535,Male,1,56,1,Lawyer,1,2,2,Cat_6,A
463108,Male,1,59,1,Lawyer,7,2,2,Cat_6,A
461356,Male,0,25,1,Entertainment,0,0,2,Cat_6,A
464570,Male,1,31,1,Doctor,0,1,2,Cat_6,A
464580,Male,0,27,0,Artist,8,0,4,Cat_6,A
465233,Male,1,57,1,Artist,0,1,4,Cat_6,B
467208,Female,1,39,1,Homemaker,1,2,2,Cat_6,A
459954,Male,1,27,1,Healthcare,8,0,2,Cat_6,D
460219,Female,1,51,1,Entertainment,8,1,2,Cat_6,A
460877,Female,1,47,0,Artist,0,1,5,Cat_6,B
460191,Female,0,33,0,Healthcare,8,0,4,Cat_6,D
463742,Male,1,56,1,Artist,0,1,4,Cat_6,C
463691,Female,0,33,0,Homemaker,0,0,3,Cat_6,B
463250,Female,0,36,1,Doctor,0,0,2,Cat_6,D
463952,Male,1,51,0,Artist,4,0,3,Cat_4,A
461558,Male,1,45,1,Engineer,2,1,2,Cat_6,C
466567,Female,0,49,1,Doctor,1,0,1,Cat_6,D
465379,Male,0,30,0,Healthcare,0,0,4,Cat_6,C
463814,Female,0,26,0,Healthcare,6,0,3,Cat_5,D
466938,Male,1,63,1,Artist,8,0,1,Cat_6,A
460671,Male,1,35,0,Entertainment,8,1,4,Cat_3,B
462204,Female,0,19,0,Marketing,1,0,3,Cat_4,A
461671,Male,0,32,0,Healthcare,7,0,5,Cat_6,D
459384,Male,1,52,1,Artist,0,1,3,Cat_6,C
459905,Female,1,36,1,Artist,5,0,2,Cat_6,C
464734,Female,0,42,0,Entertainment,7,0,3,Cat_4,D
464125,Male,1,40,0,Doctor,0,1,2,Cat_3,D
467434,Male,0,39,1,Entertainment,0,0,3,Cat_1,B
460956,Female,1,47,1,Artist,1,1,4,Cat_3,C
465179,Female,1,61,1,Artist,1,2,2,Cat_6,C
463338,Male,1,32,0,Entertainment,1,0,2,Cat_3,D
467066,Male,1,55,0,Artist,0,0,1,Cat_6,B
463845,Male,1,58,1,Artist,1,1,1,Cat_6,D
459976,Female,0,38,1,Artist,0,0,1,Cat_6,D
461334,Male,1,63,1,Artist,0,2,2,Cat_6,C
465108,Male,1,58,1,Doctor,1,1,2,Cat_6,C
462600,Male,1,30,0,Engineer,3,1,3,Cat_4,D
464144,Male,1,60,1,Artist,0,1,4,Cat_6,C
466911,Male,1,68,0,Executive,1,2,7,Cat_6,B
462806,Male,1,52,0,Artist,0,0,3,Cat_4,A
463426,Male,1,38,0,Executive,0,2,5,Cat_6,A
464065,Female,1,35,1,Healthcare,10,0,2,Cat_6,B
462979,Male,0,18,0,Doctor,1,0,2,Cat_6,D
462834,Male,1,30,1,Homemaker,3,0,2,Cat_1,D
460764,Male,0,86,0,Lawyer,1,0,1,Cat_6,D
466466,Female,0,19,0,Healthcare,6,0,5,Cat_3,D
460185,Male,0,25,0,Healthcare,9,0,3,Cat_6,D
459749,Male,1,59,1,Entertainment,1,0,4,Cat_4,A
464406,Female,0,39,1,Artist,0,0,1,Cat_6,A
467758,Female,1,50,1,Doctor,1,0,2,Cat_6,B
462059,Male,0,47,1,Artist,1,0,1,Cat_6,C
467905,Male,1,43,1,Executive,0,2,3,Cat_6,D
461177,Male,1,36,0,Executive,8,1,4,Cat_1,B
460765,Male,1,80,0,Lawyer,1,0,1,Cat_6,D
465386,Male,0,36,1,Artist,0,0,2,Cat_2,C
465827,Male,0,27,0,Doctor,2,0,7,Cat_4,D
462332,Female,1,37,1,Artist,1,2,2,Cat_7,A
464481,Male,1,46,1,Executive,0,2,3,Cat_6,C
461011,Male,1,55,0,Executive,1,2,4,Cat_3,B
464749,Female,1,47,0,Engineer,9,1,4,Cat_4,B
461094,Female,0,28,1,Healthcare,1,0,3,Cat_3,D
462104,Male,1,39,0,Entertainment,9,0,2,Cat_3,D
464524,Female,1,27,0,Marketing,1,0,2,Cat_6,A
466295,Female,1,42,0,Engineer,0,0,2,Cat_6,A
461787,Male,1,72,1,Artist,0,1,2,Cat_6,C
467857,Female,1,28,1,Engineer,0,0,2,Cat_6,A
460153,Male,0,35,1,Entertainment,8,0,5,Cat_6,C
465215,Male,1,39,1,Executive,9,2,5,Cat_2,A
466746,Female,1,69,1,Lawyer,0,2,2,Cat_6,C
464857,Male,0,18,0,Healthcare,6,0,4,Cat_4,D
459478,Male,1,46,1,Artist,1,0,1,Cat_6,A
460723,Female,1,50,1,Engineer,1,2,2,Cat_4,B
459853,Male,0,30,0,Executive,5,0,5,Cat_6,A
459390,Female,0,41,0,Artist,1,0,2,Cat_6,B
460410,Female,0,39,1,Artist,3,0,4,Cat_6,D
463823,Female,0,29,0,Marketing,8,0,4,Cat_6,D
462008,Female,1,37,1,Artist,4,0,4,Cat_5,B
459750,Female,1,39,1,Engineer,0,1,2,Cat_6,A
459880,Female,1,48,1,Artist,0,1,5,Cat_7,C
459261,Female,0,32,1,Doctor,0,0,3,Cat_6,C
465656,Male,1,78,0,Lawyer,1,0,2,Cat_6,B
465395,Female,1,43,0,Engineer,0,1,5,Cat_4,B
461631,Male,0,29,0,Marketing,8,0,5,Cat_6,C
464904,Female,1,28,0,Engineer,9,1,2,Cat_4,A
461740,Male,1,80,1,Lawyer,1,0,1,Cat_6,B
467092,Female,0,28,1,Healthcare,7,0,4,Cat_6,D
464173,Male,1,71,1,Artist,6,1,3,Cat_6,C
464972,Male,1,67,0,Lawyer,0,2,9,Cat_4,A
467959,Female,0,26,0,Engineer,0,0,1,Cat_2,A
467688,Female,1,47,1,Engineer,0,1,2,Cat_6,C
460043,Female,1,43,1,Artist,2,1,2,Cat_6,B
466590,Female,0,27,1,Healthcare,0,0,4,Cat_6,C
461191,Female,1,45,1,Marketing,8,0,4,Cat_6,D
465662,Male,1,76,0,Executive,1,0,1,Cat_6,C
459231,Female,1,43,1,Artist,3,1,4,Cat_6,C
466495,Female,1,78,1,Lawyer,1,2,2,Cat_6,B
459192,Male,1,35,1,Artist,3,1,3,Cat_6,C
465710,Female,0,49,1,Artist,1,0,1,Cat_6,C
460258,Female,0,25,1,Healthcare,1,0,5,Cat_6,D
462813,Male,1,37,0,Executive,0,1,5,Cat_6,A
463595,Female,0,32,0,Healthcare,1,0,5,Cat_1,C
467768,Male,1,60,1,Doctor,0,1,2,Cat_6,C
465291,Female,1,45,1,Artist,5,1,3,Cat_6,C
462996,Female,1,49,1,Homemaker,9,1,3,Cat_6,C
463497,Male,0,32,1,Artist,0,0,5,Cat_6,D
465301,Female,1,40,1,Artist,0,0,3,Cat_3,B
464702,Male,1,59,0,Artist,2,1,2,Cat_4,C
459012,Male,1,48,1,Artist,3,0,5,Cat_6,B
465053,Male,1,82,1,Executive,0,2,2,Cat_6,C
459420,Female,1,70,1,Lawyer,0,0,2,Cat_6,B
464166,Male,0,31,1,Artist,5,0,2,Cat_6,B
458987,Female,1,72,1,Lawyer,0,2,2,Cat_6,C
467745,Male,1,50,1,Artist,3,1,4,Cat_6,C
464866,Female,0,23,0,Engineer,11,0,1,Cat_3,D
461081,Female,0,20,0,Healthcare,2,0,6,Cat_6,D
467896,Female,0,22,0,Healthcare,4,0,3,Cat_6,D
463991,Female,0,31,1,Engineer,8,0,1,Cat_6,A
466620,Female,1,36,1,Artist,7,1,2,Cat_6,C
462594,Male,1,52,0,Entertainment,1,1,5,Cat_4,B
462206,Female,0,29,1,Artist,1,0,1,Cat_4,B
460697,Male,1,40,1,Artist,4,1,4,Cat_6,C
467934,Female,0,40,1,Artist,1,0,1,Cat_6,A
460054,Male,1,38,1,Artist,1,0,2,Cat_6,C
459576,Female,1,85,0,Lawyer,1,0,2,Cat_1,A
467910,Female,0,21,0,Doctor,1,0,3,Cat_7,A
467335,Female,1,41,0,Engineer,4,1,2,Cat_6,D
460263,Male,1,40,1,Artist,0,0,2,Cat_6,B
459340,Male,1,53,1,Artist,1,1,3,Cat_6,B
465622,Female,1,42,1,Artist,5,0,2,Cat_6,C
459395,Male,1,42,0,Executive,8,0,2,Cat_6,D
467539,Male,1,48,1,Artist,1,1,4,Cat_7,C
466574,Male,1,59,1,Artist,7,0,2,Cat_6,C
466544,Male,1,41,1,Executive,1,1,3,Cat_6,A
463610,Female,1,31,1,Artist,0,1,2,Cat_6,A
465539,Female,1,49,1,Artist,1,2,5,Cat_6,B
459823,Male,1,67,1,Executive,1,0,2,Cat_6,A
467614,Male,1,35,0,Artist,4,1,2,Cat_6,B
459073,Female,0,26,1,Healthcare,0,0,3,Cat_6,C
466065,Male,0,19,0,Healthcare,9,0,3,Cat_3,D
464863,Female,1,25,0,Engineer,6,1,8,Cat_4,D
460022,Female,1,39,1,Healthcare,4,0,2,Cat_6,A
459929,Male,1,63,1,Entertainment,0,0,2,Cat_6,A
466613,Male,0,23,0,Healthcare,8,0,3,Cat_6,D
461149,Female,0,23,0,Healthcare,0,0,3,Cat_3,D
466068,Female,1,53,1,Artist,2,0,1,Cat_6,C
461513,Male,0,33,1,Doctor,0,0,2,Cat_6,B
464761,Female,1,50,0,Engineer,1,1,4,Cat_2,B
466236,Female,1,69,1,Engineer,0,0,2,Cat_4,B
459664,Male,0,37,1,Artist,2,0,1,Cat_6,B
461967,Female,0,20,0,Marketing,3,0,4,Cat_7,C
460516,Female,0,85,0,Lawyer,0,2,1,Cat_3,C
461710,Female,1,49,1,Doctor,1,1,4,Cat_6,C
462742,Male,0,18,0,Healthcare,0,0,3,Cat_3,D
459528,Female,1,52,1,Doctor,0,1,2,Cat_6,C
462691,Male,1,25,0,Doctor,1,1,2,Cat_4,B
462934,Male,1,56,0,Executive,1,2,2,Cat_6,A
465837,Male,0,62,1,Doctor,0,0,1,Cat_6,A
464613,Female,0,35,1,Artist,0,0,3,Cat_6,B
467515,Male,1,28,1,Engineer,0,1,2,Cat_6,A
463429,Female,0,28,1,Artist,7,0,3,Cat_6,A
464024,Male,0,20,0,Healthcare,0,0,5,Cat_7,D
460691,Female,0,27,0,Homemaker,8,0,1,Cat_3,D
461825,Female,0,56,0,Engineer,1,0,1,Cat_6,A
467271,Male,1,45,1,Artist,4,1,4,Cat_6,B
465634,Male,0,25,1,Healthcare,1,0,4,Cat_4,B
464801,Male,0,40,0,Marketing,1,0,1,Cat_4,D
459429,Female,1,25,1,Healthcare,1,0,2,Cat_6,D
459888,Female,1,74,0,Lawyer,1,2,2,Cat_6,D
463467,Female,0,23,0,Healthcare,0,0,4,Cat_1,D
462036,Female,1,67,1,Lawyer,0,2,2,Cat_6,B
461282,Male,0,21,0,Healthcare,0,0,4,Cat_1,D
460448,Female,0,38,1,Artist,9,0,1,Cat_3,A
464464,Male,0,28,0,Healthcare,0,0,4,Cat_2,C
462410,Female,0,32,0,Healthcare,1,0,5,Cat_7,B
467252,Female,0,33,1,Doctor,0,0,4,Cat_1,D
459756,Female,1,56,0,Lawyer,1,2,4,Cat_4,B
463789,Female,1,53,1,Artist,1,0,2,Cat_6,C
466947,Male,1,57,0,Executive,1,2,5,Cat_6,C
464150,Female,1,59,1,Artist,0,1,3,Cat_6,C
465693,Female,1,25,1,Healthcare,1,2,4,Cat_4,A
461670,Male,1,59,1,Artist,0,1,6,Cat_6,C
466768,Female,1,36,1,Artist,0,0,4,Cat_6,C
461550,Male,1,37,1,Entertainment,7,0,2,Cat_6,A
