ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,1,0,22,0,1,1,0,4,3,3
462643,0,1,38,1,3,1,1,3,3,0
466315,0,1,67,1,3,1,0,1,5,1
461735,1,1,67,1,5,0,2,2,5,1
462669,0,1,40,1,2,1,2,6,5,0
461319,1,1,56,0,0,0,1,2,5,2
460156,1,0,32,1,1,1,0,3,5,2
464347,0,0,33,1,1,1,0,3,5,3
465015,0,1,61,1,3,0,0,3,6,3
465176,0,1,55,1,0,1,1,4,5,2
464041,0,0,26,1,3,1,0,3,5,0
464942,1,0,19,0,1,4,0,4,3,3
461230,0,0,19,0,6,0,0,7,2,3
459573,1,1,70,0,5,1,0,1,5,0
460849,0,1,58,0,4,0,0,1,2,1
460563,0,0,41,0,1,1,0,2,0,2
466865,0,0,32,0,8,9,0,5,2,3
461644,1,0,31,0,1,1,0,6,5,1
466772,1,1,58,1,2,1,1,4,5,1
464291,0,1,79,1,0,0,2,1,5,2
466084,1,1,49,1,8,12,0,1,2,0
459675,0,0,18,0,1,3,0,4,5,3
465602,1,1,33,1,0,13,0,2,2,0
459168,0,0,36,1,0,5,0,2,5,1
461021,0,0,58,0,6,1,1,3,2,1
465083,1,1,56,0,0,1,1,3,5,2
467604,1,0,31,0,1,9,0,8,3,0
459717,1,1,49,1,0,1,1,3,5,2
465882,1,0,35,1,0,0,0,1,5,1
461996,0,0,35,0,0,5,0,4,5,2
463331,0,1,45,1,0,0,0,3,5,2
462216,0,1,42,0,4,1,0,2,3,0
462454,1,0,19,0,1,1,0,3,1,3
467010,1,0,26,0,8,9,0,7,5,3
459861,0,1,83,0,5,1,2,2,5,3
467917,0,0,27,1,1,3,0,4,0,3
465572,1,0,32,0,4,5,0,1,3,3
460593,0,1,28,0,1,1,1,5,2,3
465891,0,1,28,1,0,8,0,2,5,0
467442,1,1,56,1,0,1,1,2,5,2
462044,0,0,47,1,0,4,0,1,5,1
465686,0,0,22,0,1,0,0,2,5,3
464590,0,0,27,1,0,14,0,3,5,0
466006,0,1,49,1,0,1,0,2,3,2
466152,1,1,40,0,3,8,0,1,5,0
463156,0,1,79,0,5,1,2,2,5,0
465729,1,1,41,1,0,0,1,4,3,1
462384,0,0,29,1,1,1,0,1,6,0
462442,1,0,19,0,1,0,0,4,5,3
464191,0,0,45,1,3,1,0,1,5,0
462078,0,1,61,0,0,1,1,2,1,1
467873,0,1,36,1,0,1,1,2,5,2
461270,1,1,40,1,0,1,0,1,2,0
462960,0,1,57,1,2,0,1,2,5,2
464961,1,1,76,0,7,1,0,1,3,0
462110,1,1,32,1,0,14,1,2,5,1
465769,1,0,25,1,1,9,0,4,5,3
462267,1,0,32,0,4,8,0,2,5,3
465269,0,1,45,1,0,1,1,3,2,2
460881,1,1,72,1,5,1,0,7,3,3
461891,1,1,48,1,0,0,1,2,5,2
466935,1,1,55,1,0,9,1,2,0,2
464091,1,1,74,1,5,0,2,3,5,3
464535,1,1,56,1,5,1,2,2,5,0
463108,1,1,59,1,5,7,2,2,5,0
461356,1,0,25,1,2,0,0,2,5,0
