ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,1,0,22,0,1,1,0,4,3,D
462643,0,1,38,1,3,1,1,3,3,A
466315,0,1,67,1,3,1,0,1,5,B
461735,1,1,67,1,5,0,2,2,5,B
462669,0,1,40,1,2,1,2,6,5,A
461319,1,1,56,0,0,0,1,2,5,C
460156,1,0,32,1,1,1,0,3,5,C
464347,0,0,33,1,1,1,0,3,5,D
465015,0,1,61,1,3,0,0,3,6,D
465176,0,1,55,1,0,1,1,4,5,C
464041,0,0,26,1,3,1,0,3,5,A
464942,1,0,19,0,1,4,0,4,3,D
461230,0,0,19,0,6,0,0,7,2,D
459573,1,1,70,0,5,1,0,1,5,A
460849,0,1,58,0,4,0,0,1,2,B
460563,0,0,41,0,1,1,0,2,0,C
466865,0,0,32,0,8,9,0,5,2,D
461644,1,0,31,0,1,1,0,6,5,B
466772,1,1,58,1,2,1,1,4,5,B
464291,0,1,79,1,0,0,2,1,5,C
466084,1,1,49,1,8,12,0,1,2,A
459675,0,0,18,0,1,3,0,4,5,D
465602,1,1,33,1,0,13,0,2,2,A
459168,0,0,36,1,0,5,0,2,5,B
461021,0,0,58,0,6,1,1,3,2,B
465083,1,1,56,0,0,1,1,3,5,C
467604,1,0,31,0,1,9,0,8,3,A
459717,1,1,49,1,0,1,1,3,5,C
465882,1,0,35,1,0,0,0,1,5,B
461996,0,0,35,0,0,5,0,4,5,C
463331,0,1,45,1,0,0,0,3,5,C
462216,0,1,42,0,4,1,0,2,3,A
462454,1,0,19,0,1,1,0,3,1,D
467010,1,0,26,0,8,9,0,7,5,D
459861,0,1,83,0,5,1,2,2,5,D
467917,0,0,27,1,1,3,0,4,0,D
465572,1,0,32,0,4,5,0,1,3,D
460593,0,1,28,0,1,1,1,5,2,D
465891,0,1,28,1,0,8,0,2,5,A
467442,1,1,56,1,0,1,1,2,5,C
462044,0,0,47,1,0,4,0,1,5,B
465686,0,0,22,0,1,0,0,2,5,D
464590,0,0,27,1,0,14,0,3,5,A
466006,0,1,49,1,0,1,0,2,3,C
466152,1,1,40,0,3,8,0,1,5,A
463156,0,1,79,0,5,1,2,2,5,A
465729,1,1,41,1,0,0,1,4,3,B
462384,0,0,29,1,1,1,0,1,6,A
462442,1,0,19,0,1,0,0,4,5,D
464191,0,0,45,1,3,1,0,1,5,A
462078,0,1,61,0,0,1,1,2,1,B
467873,0,1,36,1,0,1,1,2,5,C
461270,1,1,40,1,0,1,0,1,2,A
462960,0,1,57,1,2,0,1,2,5,C
464961,1,1,76,0,7,1,0,1,3,A
462110,1,1,32,1,0,14,1,2,5,B
465769,1,0,25,1,1,9,0,4,5,D
462267,1,0,32,0,4,8,0,2,5,D
465269,0,1,45,1,0,1,1,3,2,C
460881,1,1,72,1,5,1,0,7,3,D
461891,1,1,48,1,0,0,1,2,5,C
466935,1,1,55,1,0,9,1,2,0,C
